StartDate,EndDate,Status,IPAddress,Progress,Duration__in_seconds_,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,language,approve,dem_gender,dem_age,location,dem_education,dem_education_6_TEXT,dem_religion,dem_religion_4_TEXT,dem_religiosity_leve,dem_religiosity_leve_6_TEXT,dem_origin,dem_origin_2_TEXT,pol_ideology,pol_camp,perc_in_v_1,perc_in_v_2,perc_in_v_3,perc_in_v_4,perc_in_v_5,perc_in_v_6,perc_in_v_7,perc_out_v_1,perc_out_v_2,perc_out_v_3,perc_out_v_4,perc_out_v_5,perc_out_v_6,perc_out_v_7,aggress_1,aggress_2,aggress_3,sdo_1,sdo_2,sdo_3,sup_in_v_1,sup_in_v_2,sup_in_v_3,sup_in_v_4,sup_in_v_5,sup_in_v_6,sup_in_v_7,attention_1_1,attention_1_2,attention_1_3,attention_1_4,attention_1_5,attention_1_6,out_sup_v_1,out_sup_v_2,out_sup_v_3,out_sup_v_4,out_sup_v_5,out_sup_v_6,out_sup_v_7,vsa_1,vsa_2,vsa_3,vsa_4,dmc_values_1,dmc_values_2,dmc_values_3,mp_in_v_1,mp_in_v_2,mp_in_v_3,mp_in_v_4,mp_in_v_5,mp_in_v_6,mp_in_v_7,mp_out_v_1,mp_out_v_2,mp_out_v_3,mp_out_v_4,mp_out_v_5,mp_out_v_6,mp_out_v_7,effic_1,effic_2,effic_3,grd_1,grd_2,trust_1,trust_2,trust_3,trust_4,thermo_out_1,thremo_in_1,emo_emp,emo_ang,emo_hate,emo_cont,emo_fear,emo_disrespect,emo_despair,attention_2_1,attention_2_2,attention_2_3,attention_2_4,attention_2_5,attention_2_6,threat_1,threat_2,threat_3,intol_1,intol_2,intol_3,intol_4,intol_5,col_idnt_1,col_idnt_2,sim_1,cor_dmg_1,cor_dmg_2,cor_dmg_3,cor_blame,pol_idnt_1,pol_idnt_2,pol_idnt_3,pol_attit_1,pol_attit_2,participation_1,participation_2,participation_3,participation_4,feedback,i.user1,i.user9,i.user3,ingroup,t_ingroup,outgroup,t_outgroup,ingroupers,outgroupers,pol_slf,pol_slf_fe,SIDE,order,aggress_avg,sdo_1_r,sdo_avg,vsa_1_r,vsa_avg,dmc_values_avg,effic_avg,grd_avg,affectve_polar,threat_avg,intol_avg,col_idnt_1_r,pol_idntl_avg,pol_attit_avg,participation_avg,order_num,sup_in_v_order,sup_in_v_verbal,sup_in_v_physicall,out_sup_v_order,out_sup_v_verbal,out_sup_v_physicall,viol_legit_binar,Zdem_age,Zdem_education,Zdem_religiosity_leve,Zaggress_avg,Zsdo_avg,Zvsa_avg,Zpol_idntl_avg,Zthermo_out_1,Zeffic_avg,sex,pol_camp_mc
10/21/2020 15:54:44,10/21/2020 16:09:33,0,188.120.128.16,100,888,1,10/21/2020 16:09:34,R_ufWpnFspXSIWuat, , , , ,32.06669617,34.76669312,anonymous,HE,1,1,1,57,5,2, ,1, ,3, ,2, ,2,1,67,64,55,52,48,54,52,60,66,58,55,45,40,39,1,1,1,6,5,1,5,4,3,2,1,1,1, , , , ,1,1,2,4,4,2,1,1,1,1,5,3,5,6,6,5,6,5,6,4,5,5,5,5,5,4,5,5,5,5,4,4,4,3,3,4,4,5,4, ,55,5,3,1,1,1,1,2, , , , ,1,1,2,2,1,2,1,1,1,1,3,4,3,4,5,4,1,2,2,1,2,3,1,5,1,1, ,C904CF6C18874EFCA48FE2A71A447A3F,S416963,155170,ימין,הימין,שמאל,השמאל,ימנים,שמאלנים,ימני,ימנית,R,outgroupfirst,1,1,3,6,4.75,6,4,3, ,1.666666667,1.2,4,1.666666667,2.5,2,1,4.5,2.5,1,3,3,1,0,1.051542496,-0.462191819,0.938426697,-0.501366073,0.938315298,1.053147685,-1.95269262, ,-0.878848605,1,-0.494
10/22/2020 15:47:10,10/22/2020 16:02:49,0,79.180.26.87,100,939,1,10/22/2020 16:02:50,R_3KIusJAeM1OjtnA, , , , ,32.06669617,34.76669312,anonymous,HE-FE,2,1,2,53,4,1, ,1, ,1, ,1, ,3,1,95,92,88,90,91,100,100,86,87,40,30,31,4,0,1,1,1,6,1,1,1,1,1,1,1,1,1, , , , ,1,1,1,1,1,1,1,1,1,2,5,4,1,6,6,5,2,2,6,5,1,6,1,6,6,6,6,6,6,6,5,5,6,4,4,1,2,1,2,80,31,6,2,1,1,1,1,6, , , , ,1,1,1,1,1,1,1,2,1,1,6,6,6,1,1,3,1,4,4,3,4,4,1,4,1,4, ,E4D54C33E6EF4F81B91122EAB6B91B98,S416963,184491,ימין,הימין,שמאל,השמאל,ימנים,שמאלנים,ימני,ימנית,R,ingroupfirst,1,1,1,5,3.75,6,5.333333333,4,-49,1,1.2,1,3.666666667,4,2.5,0,1,1,1,1,1,1,0,0.782123461,-1.259074266,-0.594950259,-0.501366073,-0.781786073,0.290273592,-0.298335698,1.723136766,0.427989469,0,-0.494
10/25/2020 12:30:19,10/25/2020 12:39:45,0,147.236.156.134,100,566,1,10/25/2020 12:39:46,R_3PpLx2W2U5P5oB5, , , , ,32.08210754,34.81219482,anonymous,HE-FE,2,1,2,60,3,2, ,1, ,1, ,1, ,3,1,100,100,100,100,100,100,100,10,100,24,100,0,0,0,1,1,1,6,1,1,1,3,1,1,1,1,1, , , , ,1,1,1,1,1,1,1,1,1,6,1,1,6,6,6,6,6,6,6,6,5,5,5,5,2,5,3,6,6,6,5,5,4,4,5,1,1,1,1,100,0,6,1,1,1,1,1,4, , , , ,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,6,6, ,5E02EAB0218447849CD9A8CF59918E24,S416963,184265,ימין,הימין,שמאל,השמאל,ימנים,שמאלנים,ימני,ימנית,R,outgroupfirst,1,1,1,1,2.25,6,4.666666667,4.5,-100,1,1,6,1,1,4.75,1,2,1,1,1,1,1,0,1.253606773,-0.462191819,-0.594950259,-0.501366073,-0.781786073,-0.854037547,-2.504144927,2.645731943,-0.225429568,0,-0.494
10/25/2020 12:58:36,10/25/2020 13:20:52,0,77.125.95.40,100,1336,1,10/25/2020 13:20:53,R_2aOUTtG0zx22PPD, , , , ,32.06669617,34.76669312,anonymous,HE-FE,2,1,2,34,2,1, ,1, ,2, ,1, ,3,1,100,100,100,100,70,70,51,100,100,100,100,51,51,40,1,1,1,6,1,1,1,1,1,1,1,1,1, , , , ,1,1,1,1,1,1,1,1,1,1,5,1,3,6,6,1,1,1,3,4,1,2,1,5,3,4,4,1,1,1,6,6,2,3,4,1,5,6,5,70,60,3,5,1,1,1,1,6, , , , ,1,1,1,1,1,1,1,1,1,1,3,6,6,6,6,3,1,4,1,1,1,4,1,6,1,5, ,52BBB595C7B940D79A35313128D211BD,S416963,12829,ימין,הימין,שמאל,השמאל,ימנים,שמאלנים,ימני,ימנית,R,ingroupfirst,1,1,1,6,3.75,6,4.666666667,3.5,-10,1,1,4,2,2.5,3.25,0,1,1,1,1,1,1,0,-0.497616959,-1.259074266,0.171738219,-0.501366073,-0.781786073,0.290273592,-1.676966466,1.261839178,-0.225429568,0,-0.494
10/21/2020 12:23:52,10/21/2020 12:41:42,0,176.231.67.71,100,1070,1,10/21/2020 12:41:43,R_3iloGe19hI3YqQH, , , , ,32.06669617,34.76669312,anonymous,HE,1,1,1,44,4,3, ,1, ,2, ,1, ,2,1,100,100,84,75,70,75,64,100,100,100,82,70,70,60,2,3,1,2,1,2,2,2,3,2,2,2,2, , , , ,1,1,6,6,6,5,4,4,3,2,4,4,5,5,5,5,5,5,5,5,5,5,5,2,2,5,5,5,5,5,5,2,2,1,1,3,2,2,2,51,51,4,5,2,4,5,5,4, , , , ,1,1,4,4,5,2,2,2,2,3,4,4,3,5,6,4,4,3,3,2,2,3,1,6,1,4,"האמון במשטרה נפגע כבר מזמן - במיוחד כשניגשתי להתלונן ובתגובה נאמר לי ""לא כדאי לך להתלונן, כי לא נוכל להגן עליך"".
האמון בבתי המשפט נפגע גם הוא מזמן - כאשר פרקליט בכיר, שיכור, דרס עם הטנק שלו אמא וילד שישבו במכוניתם ברמזור אדום ונידון לחודשים ספורים, ואילו אדם שזרק נעל על שופטת נידון ל 7 שנות מאסר.
האמון בפקידי המשרדים נעלם כאשר הם הפכו את תפקידם מ - נותני השירות הכפופים לשר, לכאלו המנסים לממש את מדיניותם ותפיסתם, וכאשר היא נוגדת את מדיניות השר -- שהוא הגורם הנבחר -- הם מוצאים עילות משפטיות המקדמות את עמדתם על פני מדיניות השר.
אלו רק דוגמאות בודדות ממה שהולך כאן.",E1B2E53C0D5645EF9654F5F9C4FF3BFA,S416963,180281,ימין,הימין,שמאל,השמאל,ימנים,שמאלנים,ימני,ימנית,R,outgroupfirst,2,5,1.5,5,4.5,5,3,1,0,4.333333333,2.2,3,2.666666667,2.5,3,1,2,2.5,2,6,5.5,3.666666667,1,0.17593063,0.334690628,0.171738219,0.953274371,-0.35176073,0.862429162,-1.125514159,0.38537376,-1.858977161,1,-0.494
10/21/2020 12:24:25,10/21/2020 12:36:29,0,80.179.57.131,100,724,1,10/21/2020 12:36:31,R_294YDv5LAnOx4M1, , , , ,32.06669617,34.76669312,anonymous,HE,1,1,1,28,1,1, ,1, ,4, ,1, ,2,1,85,81,86,76,81,24,15,81,85,81,53,69,34,9,2,2,1,1,1,1,4,4,2,2,1,1,1, , , , ,1,1,4,3,5,3,3,2,1,3,3,1,4,6,6,5,4,6,6,5,5,3,3,5,4,6,6,6,6,6,6,5,5,1,1,1,1,3,1,42,63,6,5,2,3,2,6,5, , , , ,1,1,3,3,4,2,2,2,1,1,2,5,2,2,5,5,3,5,6,3,5,4,1,6,5,6, ,41D6F783CB2C44B2B67576886C9A9B5F,S416963,299864,ימין,הימין,שמאל,השמאל,ימנים,שמאלנים,ימני,ימנית,R,outgroupfirst,1.666666667,6,1,4,3,6,5.333333333,1,21,3.333333333,1.6,5,4.666666667,4.5,4.5,1,4,2,1,3.5,4,2,0,-0.901745513,-1.259074266,1.705115174,0.468394223,-0.781786073,-0.281881977,0.528842763,-0.02979407,0.427989469,1,-0.494
10/21/2020 12:24:47,10/21/2020 12:47:44,0,192.115.88.194,100,1376,1,10/21/2020 12:47:45,R_TbXfQfvepY9qleV, , , , ,31.25160217,34.78630066,anonymous,HE-FE,2,1,2,58,4,3, ,1, ,2, ,1, ,2,1,24,25,24,23,18,18,16,77,78,81,81,80,78,80,1,1,1,5,1,1,2,2,2,2,2,2,2, , , , ,1,1,4,4,4,4,4,4,4,5,5,2,2,5,5,5,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,1,1,5,2,2,1,60,74,1,2,1,1,1,1,1, , , , ,1,1,4,4,4,4,4,4,4,4,1,6,5,1,4,2,1,4,4,1,2,2,1,1,1,2, ,7219AC2FDA3D46CEB79884ED34325F24,S416963,180021,ימין,הימין,שמאל,השמאל,ימנים,שמאלנים,ימני,ימנית,R,ingroupfirst,1,2,1,2,2.75,5,2,1,14,4,4,6,3,2,1.25,0,2,2,2,4,4,4,1,1.118897255,0.334690628,0.171738219,-0.501366073,-0.781786073,-0.472600501,-0.849788005,0.80054159,-2.839105716,0,-0.494
10/21/2020 12:25:08,10/21/2020 12:49:57,0,62.219.105.130,100,1488,1,10/21/2020 12:49:58,R_2Cdg8DYISsLWSuR, , , , ,32.81599426,34.98210144,anonymous,HE-FE,2,1,2,41,4,3, ,1, ,1, ,2, ,2,1,24,23,23,74,74,0,0,100,100,74,74,73,22,22,1,1,1,3,1,1,1,1,1,2,1,1,1, , , , ,1,1,4,4,4,5,4,2,2,1,6,3,5,4,5,4,1,6,4,6,4,2,2,3,3,3,3,3,3,3,5,5,5,3,2,5,4,4,3,40,76,2,5,5,5,4,4,5, , , , ,1,1,5,5,5,5,3,2,2,2,6,5,3,2,4,6,5,5,5,3,4,4,1,3,1,4, ,3B6FCD57E01647B58D37D0A76FC473AB,S416963,341348,ימין,הימין,שמאל,השמאל,ימנים,שמאלנים,ימני,ימנית,R,ingroupfirst,1,4,1,6,5,4.5,5,2.5,36,5,2.8,1,4.333333333,4,2.25,0,1,1.5,1,4,4.5,2.666666667,0,-0.026133646,0.334690628,-0.594950259,-0.501366073,-0.781786073,1.243866208,0.253116609,-0.122053587,0.101279951,0,-0.494
10/21/2020 12:25:11,10/21/2020 12:38:52,0,80.74.100.49,100,820,1,10/21/2020 12:38:53,R_qJX1jdQIhxx48Kt, , , , ,32.06669617,34.76669312,anonymous,HE-FE,2,1,2,24,2,2, ,1, ,5, ,1, ,2,1,60,60,56,53,32,20,13,45,60,60,70,49,49,16,1,1,1,3,1,1,5,5,4,4,1,1,1, , , , ,1,1,5,4,4,5,3,1,1,1,4,3,4,2,4,4,4,4,4,4,3,3,2,4,3,4,4,4,4,5,5,4,4,3,2,3,2,4,2,25,75,3,3,1,4,1,3,3, , , , ,1,1,4,4,3,2,3,3,2,4,1,4,1,6,2,2,3,3,4,2,2,2,1,2,1,2, ,6F7DD17D68644F549A7F5CD89C51DD9B,S416963,537444,ימין,הימין,שמאל,השמאל,ימנים,שמאלנים,ימני,ימנית,R,outgroupfirst,1,4,1,6,4.25,3,4.333333333,2.5,50,3.666666667,2.8,6,3,2,1.5,1,5,4,1,4.5,4.5,1.666666667,0,-1.171164548,-0.462191819,2.471803652,-0.501366073,-0.781786073,0.671710639,-0.849788005,-0.81399997,-0.552139086,0,-0.494
10/21/2020 12:25:12,10/21/2020 12:39:06,0,77.137.84.76,100,833,1,10/21/2020 12:39:07,R_UWUkuSkD4EaLzdn, , , , ,32.06669617,34.76669312,anonymous,HE,1,1,1,18,1,1, ,1, ,4, ,1, ,2,1,8,10,39,23,22,25,0,91,90,50,87,49,0,11,1,1,1,5,1,1,1,2,2,2,1,1,1, , , , ,1,1,5,4,1,3,2,1,1,2,6,3,6,6,6,5,5,2,5,5,4,3,2,5,5,4,3,3,3,3,6,6,4,2,1,6,3,5,3,40,60,2,6,4,4,1,2,3, , , , ,1,1,3,3,1,6,1,1,1,4,3,6,2,1,5,3,4,5,5,4,5,5,1,6,4,4, ,12CC8E47417E4ACA943CD40257B8ECA5,S416963,529422,ימין,הימין,שמאל,השמאל,ימנים,שמאלנים,ימני,ימנית,R,outgroupfirst,1,2,1,5,5,6,5.333333333,1.5,20,2.333333333,2.6,4,4.666666667,5,3.75,1,1.5,2,1,4.5,2,1.333333333,0,-1.575293102,-1.259074266,1.705115174,-0.501366073,-0.781786073,1.243866208,0.528842763,-0.122053587,0.427989469,1,-0.494
