V1,StartDate,EndDate,Status,IPAddress,Progress,Duration,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Age,CoronaA1,CoronaA2,CoronaA3,CoronaA4,CoronaA5,CoronaA6,CoronaA7,CoronaB1,CoronaB2,CoronaB3,CoronaB5,CoronaB6,CoronaC,CoronaD,CoronaE1,CoronaE2,CoronaE3,CoronaE4,CoronaE5,CoronaE6,CoronaF1,CoronaF2,CoronaF3,CoronaF4,CoronaG1,CoronaG2,CoronaG3,Aggress1,Aggress2,Aggress3,SDO1,SDO2,SDO3,r_sdo_3,VSA1,VSA2,VSA3,GCB1,GCB2,GCB3,SpamCheck1,AuthTrust1,AuthTrust2,AuthTrust3,AuthTrust4,Party,StrenPartyID,Lean,PartyID_1,PartyID_2,PartyID_3,PolAttitude_44,PolAttitude_45,PolAttitude_47,PolAttitude_48,FeelThermIn_1,Efficacy1,Efficacy2,Efficacy3,FeelThermOut_1,Hope,Sadness,Anger,PissedOff,Fear,Scared,Contempt,Disrespect,Disgust,Disappointment,Hostility,Hatred,TriatsOut_4,TriatsOut_5,TriatsOut_7,TriatsOut_9,TriatsOut_11,TriatsOut_12,TrustOut_1,SocDisOut1_1,SocDisOut2_1,SocDisOut3_1,Intolerance1,Intolerance2,Intolerance3,Intolerance4,ThreatOut1,ThreatOut2,ThreatOut3,PolConTheory1,PolConTheory2,PolConTheory3,LegitGnrl1,LegitGnrl2,LegitGnrl3,LegitGnrl4,LegitGnrl5,LegitGnrl6,LegitGnrl7,MetaPercepIn1,MetaPercepIn2,SpamCheck2,MetaPercepOut1,MetaPercepOut2,RiotLegit1,RiotLegit2,RiotLegit3,BanLegit1,BanLegit2,BanLegit3,PolPartic1,PolPartic2,PolPartic3,NationalNews,CNN,Fox,MSNBC,TalkRadio,SocialMedia,Parler,Telegram,AmericID1_125,AmericID2_4,AmericID3_4,Gender,Educ,Income,Ethnic,Religious,Ideolgy,Debriefing,workerId,assignmentId,hitId,OUTGROUP,OUT1,INGROUP,IN1,tID,IDS,duplicateID,naCount,FilteredOut,duplicateIP,SpamCheck1F,SpamCheck2F,SpamCheckFail,longstring,longstring_s,efficacy_avg,aggressiv_avg,sdo_avg,vsa_avg,legit_physical_viol,partyID_avg,binar_legit_viol,pol_camp,sex,ZAge,ZEduc,ZReligious,ZFeelThermOut_1,Zefficacy_avg,Zaggressiv_avg,Zsdo_avg,Zvsa_avg,ZpartyID_avg,pol_camp_mc,Zlegit_physical_viol,soc_dis_mean
16,1/16/21 10:28,1/16/21 10:37,0,67.86.130.28,100,512,1,1/16/21 10:37,R_3O2OIfu9SlkTW24,NA,NA,NA,NA,40.67399597,-73.9701004,anonymous,EN,29,2,1,2,1,1,3,1,3,3,4,2,2,4,3,4,4,5,5,2,3,4,4,3,4,5,5,5,1,2,1,3,5,1,6,3,2,1,2,4,1,6,1,2,2,1,3,NA,1,54,41,75,56,90,28,80,60,4,4,5,29,88,89,90,90,92,90,89,91,93,93,89,88,32,42,16,83,61,93,28,43,66,16,54,51,51,51,3,5,6,1,1,1,5,5,4,4,2,2,1,6,6,6,2,2,2,5,1,1,5,1,6,5,4,3,1,1,2,1,3,1,5,51,78,85,11,22,15,35,96,2, ,A1N1ULK71RHVMM,337RC3OW06GHN789CITZCYHUGJ3LVC,3ODOP6T3ASX95O5TSD55ZSNM7WI42K,Republicans,Republican,Democrtas,Democrat,an Independent,Independents,FALSE,5,0,FALSE,0,0,0,3,-1.694209046,4.333333333,1.333333333,4.666666667,2,1.666666667,56.66666667,1,1,0, , , , , , , , , ,-0.4491, ,41.66666667
32,1/16/21 10:29,1/16/21 10:40,0,107.5.54.11,100,705,1,1/16/21 10:41,R_oY4P5rdL8KbiPMB,NA,NA,NA,NA,42.64259338,-84.52210236,anonymous,EN,40,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,4,4,5,1,3,1,1,3,1,1,1,1,1,1,1,6,6,1,6,5,3,4,2,1,1,6,1,3,4,4,3,NA,1,76,95,90,71,72,85,72,70,6,6,6,60,88,91,88,88,89,89,87,87,90,90,87,87,51,42,21,77,72,86,23,74,77,77,51,51,51,51,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,6,6,6,1,4,1,3,3,3,1,1,1,1,1,81,88,93,10,22,14,35,93,4, ,ASVRLMDNQBUD9,3LOTDFNYA8D824YIGHVX3NVOQWJFWB,3OWZNK3RYL28MMZ87JWNCWLG695U2W,Republicans,Republican,Democrtas,Democrat,an Independent,Independents,FALSE,5,0,FALSE,0,0,0,12,1.10601578,6,1,6,4,1,87,0,1,1, , , , , , , , , ,-0.4491, ,76
73,1/16/21 10:38,1/16/21 10:50,0,24.55.51.65,100,694,1,1/16/21 10:50,R_3oF7F0isdcDKsSc,NA,NA,NA,NA,30.29710388,-97.81809998,anonymous,EN,62,2,1,1,1,1,1,2,1,1,1,1,1,2,1,5,5,3,5,3,5,4,4,1,3,5,5,5,1,1,1,6,6,2,5,5,3,4,4,2,1,6,1,4,5,5,3,NA,1,50,75,0,0,51,77,77,80,6,6,6,71,90,92,91,91,92,92,92,90,92,92,90,87,77,88,24,80,64,91,49,77,78,78,52,56,54,54,5,5,5,1,1,1,1,1,1,1,1,1,1,5,5,6,5,5,1,1,1,6,6,6,1,6,1,1,6,1,1,1,6,1,1,90,76,100,11,23,17,35,99,4, ,A3DZCWB0J90PHT,3V5Q80FXIY5RACKII25OE7Q2JZL32A,335VBRURDJD2XANL2SWXI17RQRM9EN,Republicans,Republican,Democrtas,Democrat,an Independent,Independents,FALSE,5,0,FALSE,0,0,0,10,0.483743596,6,1,5.666666667,4,1,41.66666667,0,1,0, , , , , , , , , ,-0.4491, ,77.66666667
138,1/16/21 10:49,1/16/21 11:03,0,73.153.214.172,100,823,1,1/16/21 11:03,R_2RPUjNKY7kue2rD,NA,NA,NA,NA,38.93009949,-104.844101,anonymous,EN,44,1,1,1,1,1,1,1,1,1,2,1,1,1,3,3,3,2,4,3,3,3,2,3,3,1,1,1,1,2,1,5,5,1,6,2,3,3,3,2,2,6,2,3,3,3,3,NA,1,20,75,30,20,40,29,28,56,5,4,4,40,88,90,88,87,87,87,88,88,87,88,87,87,25,44,27,75,21,67,28,100,100,100,51,51,51,51,1,1,2,1,1,1,2,3,1,1,1,1,1,1,1,6,4,4,1,1,1,6,6,6,1,4,1,2,4,4,4,2,2,1,1,100,100,90,11,23,17,40,96,3, ,A3V93PXS7JEEO4,3A1COHJ8NK9HQZT6D43RSS4FO4W8HQ,382GHPVPHS4YQ61CWDJAI2SEDAI43V,Republicans,Republican,Democrtas,Democrat,an Independent,Independents,FALSE,5,0,FALSE,0,0,0,9,0.172607505,4.333333333,1.333333333,5.333333333,2.666666667,1,41.66666667,0,1,0, , , , , , , , , ,-0.4491, ,100
150,1/16/21 10:53,1/16/21 11:05,0,107.2.72.194,100,708,1,1/16/21 11:05,R_3Hz7ZuYoK5T8Q58,NA,NA,NA,NA,45.00010681,-93.09860229,anonymous,EN,60,3,2,3,2,1,4,2,1,2,2,2,2,5,3,4,4,4,4,3,3,2,2,3,2,2,2,2,2,2,2,6,6,1,6,1,1,1,3,2,1,6,1,3,5,5,3,NA,1,55,65,16,27,63,70,71,41,5,5,5,29,88,92,92,91,91,90,90,92,91,92,91,88,64,38,15,86,56,77,22,59,66,67,51,51,51,51,2,2,4,1,1,1,2,2,5,1,1,1,1,3,3,6,4,4,1,1,1,6,6,6,1,6,3,4,5,2,1,1,4,1,1,75,80,87,10,22,16,35,97,5, ,AKX5RHHO8BIUX,39L1G8WVWR5KLR2MZY5A9OGXRT913T,3SV8KD29L45KP1X82C1ZTKMPPR6ZKC,Republicans,Republican,Democrtas,Democrat,an Independent,Independents,FALSE,5,0,FALSE,0,0,0,7,-0.449664679,5,2,6,1,1,45.33333333,0,1,1, , , , , , , , , ,-0.4491, ,64
155,1/16/21 10:55,1/16/21 11:06,0,65.74.124.73,100,664,1,1/16/21 11:06,R_2BxOPFK92pmxy8Q,NA,NA,NA,NA,61.17829895,-149.9506989,anonymous,EN,30,3,3,3,4,3,4,3,4,4,4,2,3,7,2,5,5,5,5,3,4,1,1,3,2,1,1,1,1,2,1,6,6,1,6,6,3,4,2,1,1,6,1,4,4,3,3,NA,1,59,57,76,38,69,58,55,72,5,6,6,25,88,93,91,91,92,92,93,93,91,93,91,89,24,30,5,84,100,100,17,72,76,100,52,51,51,51,2,3,3,1,1,1,1,1,1,1,1,1,1,2,2,6,5,5,1,1,1,6,5,5,1,6,1,4,1,1,2,6,1,1,1,80,69,100,10,21,15,35,93,4,Thanks for the opportunity.,A334XVDF4AIYQS,3E4GGUZ1T95X6ASP38XNVT74UL8K23,3AC6MFV69KVTNBW0WRY2GS6XXA2ZH8,Republicans,Republican,Democrtas,Democrat,an Independent,Independents,FALSE,5,0,FALSE,0,0,0,10,0.483743596,5.666666667,1.333333333,6,4.333333333,1,64,0,1,1, , , , , , , , , ,-0.4491, ,82.66666667
178,1/16/21 10:52,1/16/21 11:13,0,73.197.102.204,100,1265,1,1/16/21 11:13,R_4ITwWs2hrvmJsf7,NA,NA,NA,NA,40.43060303,-74.40200043,anonymous,EN,37,1,1,1,1,1,1,1,2,2,3,2,2,4,3,5,2,2,3,3,3,3,2,3,3,2,2,2,3,3,1,3,3,4,3,3,4,4,4,4,3,6,5,5,5,5,3,NA,1,65,69,51,41,51,51,51,51,3,3,3,67,90,89,89,89,89,89,91,91,91,91,91,91,45,51,51,42,39,41,37,42,41,39,53,53,53,53,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,6,3,3,4,4,4,5,3,3,1,5,3,2,4,4,4,2,5,1,1,82,84,52,11,23,16,37,99,3, ,A1VT581V4RDGVH,3MD9PLUKKJSOKRG4PSYHAWYF9PCNZJ,3TCFMTM8HE1SDP8A5VM31UGJVC8215,Republicans,Republican,Democrtas,Democrat,an Independent,Independents,FALSE,5,0,FALSE,0,0,0,9,0.172607505,3,2.333333333,3,3.666666667,2,61.66666667,1,1,0, , , , , , , , , ,-0.4491, ,40.66666667
191,1/16/21 11:13,1/16/21 11:19,0,68.49.145.172,100,328,1,1/16/21 11:19,R_2zGTr4J8vcmXVyl,NA,NA,NA,NA,42.68299866,-83.38800049,anonymous,EN,40,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,4,3,4,2,2,1,1,3,1,1,1,1,1,1,1,5,5,1,6,1,1,1,3,1,1,6,1,3,4,2,3,NA,1,22,26,14,36,16,28,30,81,5,4,4,22,88,91,90,90,87,87,90,90,89,92,89,89,72,51,38,51,19,18,51,51,89,41,52,51,51,51,2,2,3,1,1,1,2,1,1,1,1,1,1,2,2,6,5,5,1,1,1,5,5,5,2,5,3,5,1,1,1,1,5,1,1,22,65,68,11,23,15,35,93,1, ,A3S5M6R3ZR6ECN,3VA45EW49O197GV8IWP2XRE8MK7O1D,3T2HW4QDUVKN0C3761Q2SD7O5F99CU,Republicans,Republican,Democrtas,Democrat,an Independent,Independents,FALSE,5,0,FALSE,0,0,0,12,1.10601578,4.333333333,1,5.333333333,1,1,20.66666667,0,1,0, , , , , , , , , ,-0.4491, ,60.33333333
217,1/16/21 11:22,1/16/21 11:31,0,68.56.245.51,100,561,1,1/16/21 11:31,R_CaG1ewe42Jmdc1H,NA,NA,NA,NA,42.42630005,-82.90139771,anonymous,EN,50,3,2,3,3,2,3,3,2,2,2,2,2,6,3,4,5,4,5,4,4,4,4,3,3,4,4,4,1,1,1,5,5,1,6,5,4,5,5,4,4,6,1,1,3,3,3,NA,1,74,66,35,5,22,68,81,82,5,5,5,10,87,93,93,93,93,93,93,93,93,93,93,93,21,51,2,100,90,52,0,59,53,60,52,52,52,52,4,4,5,1,1,1,2,1,1,1,1,1,1,5,5,6,5,5,1,1,1,6,6,6,1,5,1,5,5,1,5,1,1,1,1,86,76,49,10,23,18,35,95,4, ,A3U0CSC7FMOQUN,37QW5D2ZRH06G87MOYFQW6BHXFH8SF,3INZSNUD803X549L6XLDCJP6QFL9DU,Republicans,Republican,Democrtas,Democrat,an Independent,Independents,FALSE,5,0,FALSE,0,0,0,11,0.794879688,5,1,5.333333333,4.666666667,1,58.33333333,0,1,1, , , , , , , , , ,-0.4491, ,57.33333333
220,1/16/21 11:19,1/16/21 11:32,0,72.79.20.57,100,784,1,1/16/21 11:32,R_1QK2w6xEkmAPKDk,NA,NA,NA,NA,40.8184967,-74.1588974,anonymous,EN,31,1,1,1,1,1,1,1,1,1,2,1,2,4,1,4,4,3,5,2,3,1,1,3,1,1,1,1,1,1,1,4,5,1,6,5,4,4,3,1,1,6,6,6,6,3,3,NA,1,30,50,0,0,26,55,71,70,5,5,5,20,91,91,90,89,87,87,87,87,87,91,88,87,50,50,20,60,35,52,30,76,77,98,51,51,51,51,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,6,5,5,1,1,1,6,6,6,1,5,1,3,1,1,4,1,2,1,1,26,0,51,10,23,15,40,95,4,I am very pleased to give my opinion on such a sensitive and timely subject.,A162109GADKXM8,3CTOC39K3849HRJDRZE6Q5OZQCY7JB,32CAVSKPCE21X1HCOFW97DBBE3RU1F,Republicans,Republican,Democrtas,Democrat,an Independent,Independents,FALSE,5,0,FALSE,0,0,0,11,0.794879688,5,1,5,4.333333333,1,26.66666667,0,1,1, , , , , , , , , ,-0.4491, ,83.66666667
