StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Age,CoronaA1,CoronaA2,CoronaA3,CoronaA4,CoronaA5,CoronaA6,CoronaA7,CoronaB1,CoronaB2,CoronaB3,CoronaB5,CoronaB6,CoronaC,CoronaD,CoronaE1,CoronaE2,CoronaE3,CoronaE4,CoronaE5,CoronaE6,CoronaF1,CoronaF2,CoronaF3,CoronaF4,CoronaG1,CoronaG2,CoronaG3,Aggress1,Aggress2,Aggress3,SDO1,SDO2,SDO3,VSA1,VSA2,VSA3,GCB1,GCB2,GCB3,SpamCheck1,AuthTrust1,AuthTrust2,AuthTrust3,AuthTrust4,Party,StrenPartyID,Lean,PartyID1_125,PartyID2_4,PartyID3_4,PolAttitude_44,PolAttitude_45,PolAttitude_47,PolAttitude_48,FeelThermIn_1,Efficacy1,Efficacy2,Efficacy3,FeelThermOut_1,Hope,Sadness,Anger,PissedOff,Fear,Scared,Contempt,Disrespect,Disgust,Disappointment,Hostility,Hatred,TriatsOut_4,TriatsOut_5,TriatsOut_7,TriatsOut_9,TriatsOut_11,TriatsOut_12,TrustOut_1,SocDisOut1_1,SocDisOut2_1,SocDisOut3_1,Intolerance1,Intolerance2,Intolerance3,Intolerance4,ThreatOut1,ThreatOut2,ThreatOut3,PolConTheory1,PolConTheory2,PolConTheory3,LegitGnrl1,LegitGnrl2,LegitGnrl3,LegitGnrl4,LegitGnrl5,LegitGnrl6,LegitGnrl7,MetaPercepIn1,MetaPercepIn2,SpamCheck2,MetaPercepOut1,MetaPercepOut2,RiotLegit1,RiotLegit2,RiotLegit3,BanLegit1,BanLegit2,BanLegit3,PolPartic1,PolPartic2,PolPartic3,NationalNews,CNN,Fox,MSNBC,TalkRadio,SocialMedia,Parler,Telegram,AmericID1_125,AmericID2_4,AmericID3_4,Gender,Educ,Income,Ethnic,Religious,Ideolgy,Debriefing,workerId,assignmentId,hitId,OUTGROUP,OUT1,INGROUP,IN1,tID,IDS
1/16/21 7:10,1/16/21 7:20,0,24.139.58.251,100,632,1,1/16/21 7:20,R_22KYG6FmiWxGnLT,,,,,34.62240601,-98.39129639,anonymous,EN,34,3,1,4,3,1,4,2,2,4,2,2,4,4,4,3,5,5,5,4,3,1,1,2,2,1,1,1,2,4,3,6,6,1,5,2,2,6,1,1,6,1,4,4,2,1,5,,77,83,52,76,86,77,24,89,6,6,6,0,87,87,93,93,90,87,92,93,93,93,93,93,0,24,0,100,100,100,0,0,0,0,57,52,52,52,6,6,6,1,1,1,3,2,5,1,1,1,1,3,4,6,1,1,1,1,1,6,6,6,2,5,3,5,3,1,4,1,1,1,1,0,23,0,10,22,14,35,93,2,,A16LZUEQ6JGHWA,3VHHR074H4VFCH7DUKQJ6K1RU09L7V,3OB6JN3A9Q26DYBKD7K2MUCU5FHRMF,Republicans,Republican,Democrats,Democrat,a Democrat,Democrats
1/16/21 7:12,1/16/21 7:20,0,99.145.225.79,100,507,1,1/16/21 7:20,R_2fcFITC3QjlJP3B,,,,,34.07470703,-84.59529877,anonymous,EN,47,3,2,2,1,2,1,3,2,2,1,1,2,6,2,4,4,3,4,4,4,1,1,4,3,2,2,2,3,1,1,5,3,4,4,4,5,4,3,4,4,5,5,5,5,1,2,,27,26,76,67,63,57,84,88,5,4,5,35,88,92,91,91,89,88,89,91,88,87,90,88,73,14,17,76,6,70,69,74,76,78,53,52,51,51,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,2,3,2,4,6,4,3,5,5,5,6,5,1,1,76,75,75,11,22,15,37,97,3,,ATDV80MHOYO1N,32M8BPYGAU0WF9A82KX0KHMSCZYIGH,3OB6JN3A9Q26DYBKD7K2MUCU5FHRMF,Republicans,Republican,Democrats,Democrat,a Democrat,Democrats
1/16/21 7:19,1/16/21 7:31,0,50.81.83.34,100,732,1,1/16/21 7:31,R_1jCFQZW5AEcWhnP,,,,,37.16610718,-93.2457962,anonymous,EN,50,1,1,1,1,1,1,1,1,1,2,1,1,3,3,3,5,3,5,1,3,1,1,2,1,1,1,1,1,2,1,6,5,1,2,2,2,2,2,2,6,1,2,4,4,1,8,,65,59,47,65,80,84,91,90,6,5,3,9,88,88,91,91,88,87,91,91,92,93,92,90,60,40,10,90,75,85,12,80,85,65,53,52,51,51,4,5,5,1,1,1,1,1,3,2,1,1,1,2,2,6,5,5,1,1,1,5,5,6,1,6,1,6,6,3,6,1,6,1,1,80,75,85,10,20,15,35,93,2,,A2QTV4TFK4VCEF,3QIYRE09Y4VRPVVWHHPPI2E3W99N12,3OB6JN3A9Q26DYBKD7K2MUCU5FHRMF,Republicans,Republican,Democrats,Democrat,a Democrat,Democrats
1/16/21 7:27,1/16/21 7:36,0,24.61.162.125,100,558,1,1/16/21 7:36,R_z2Qc0NnXLikJ5PH,,,,,43.16040039,-71.41790009,anonymous,EN,31,2,3,2,2,1,4,2,2,2,2,1,2,2,4,4,4,3,3,2,3,5,5,4,4,5,5,5,4,6,4,5,5,1,2,2,2,4,4,3,6,1,3,2,2,1,4,,67,70,69,80,85,82,74,70,4,4,4,0,87,87,93,93,88,88,93,93,93,93,93,93,0,0,0,100,100,100,0,0,20,0,57,54,53,53,6,6,6,1,1,1,1,1,4,1,1,1,1,6,6,6,6,6,1,1,1,4,4,4,1,6,5,1,6,1,1,1,5,1,1,31,43,6,10,22,15,35,93,2,,A2ZDXFFGSPHGBE,3R0T90IZ1TQ526O8AA1E9EOXZUEGCD,3OB6JN3A9Q26DYBKD7K2MUCU5FHRMF,Republicans,Republican,Democrats,Democrat,a Democrat,Democrats
1/16/21 7:38,1/16/21 7:45,0,12.204.36.2,100,423,1,1/16/21 7:45,R_3haakjiytteqAmv,,,,,32.89830017,-96.12609863,anonymous,EN,27,1,1,1,1,1,1,1,1,1,1,1,1,3,4,3,3,5,5,5,4,3,3,5,3,3,2,2,3,3,2,6,6,1,1,1,1,6,4,1,6,6,1,3,3,3,,2,20,80,21,19,89,50,50,55,5,5,5,0,87,91,93,93,87,87,93,93,93,93,93,93,0,0,0,100,100,100,0,25,50,0,54,51,51,51,4,4,4,5,5,5,5,3,6,1,1,1,1,6,6,6,6,6,6,6,6,1,1,1,1,6,6,2,1,1,1,1,6,6,4,100,100,100,10,20,15,35,93,7,,A3I40B0FATY8VH,3FDJT1UU75MP57BCLRZLT0AGEU95KX,3OB6JN3A9Q26DYBKD7K2MUCU5FHRMF,Democrats,Democrat,Republicans,Republican,an Independent,Independents
1/16/21 7:17,1/16/21 8:03,0,172.0.80.46,100,2763,1,1/16/21 8:03,R_2QyNJGpsM1mQEH1,,,,,30.40040588,-88.95770264,anonymous,EN,41,2,1,1,2,1,1,1,1,1,1,1,1,5,2,4,5,2,5,2,3,2,1,3,3,1,1,1,1,1,1,6,6,1,3,2,2,3,2,1,6,1,2,3,3,1,5,,75,65,70,78,75,88,89,80,6,6,6,20,90,92,89,89,91,91,88,87,88,93,87,87,40,35,5,70,75,80,20,70,80,55,51,51,51,51,4,4,5,1,1,1,3,2,2,1,1,1,1,3,2,6,6,6,1,1,1,6,6,6,2,6,4,2,5,1,3,1,6,1,1,70,70,70,11,22,15,35,97,2,This was an interesting study. Thank you for the opportunity. ,A10HW8JXM17XLD,3ZSANO2JCGLFVNH9WCLW6YS3KI0FS7,3OB6JN3A9Q26DYBKD7K2MUCU5FHRMF,Republicans,Republican,Democrats,Democrat,a Democrat,Democrats
1/16/21 8:21,1/16/21 8:31,0,75.89.21.148,100,622,1,1/16/21 8:31,R_1r7xBzjySJlTlYt,,,,,30.17840576,-83.03089905,anonymous,EN,34,1,1,1,1,1,1,1,1,1,2,1,1,2,4,2,4,2,4,1,3,1,1,2,2,3,2,2,1,2,1,5,6,1,1,1,1,2,3,1,6,1,4,3,2,1,3,,35,40,25,24,45,69,78,80,4,5,4,30,88,89,88,88,87,87,91,89,90,91,87,88,40,25,10,67,45,75,20,75,75,70,54,53,54,53,2,3,4,1,1,1,2,2,2,1,1,1,1,1,1,6,5,5,1,1,1,4,2,3,1,5,2,3,2,2,2,1,3,1,1,30,65,60,10,22,14,35,93,2,,A3APKUC67F9IMW,3VNL7UK1XGXGANUOLCQMG3OPM1EFTW,3OB6JN3A9Q26DYBKD7K2MUCU5FHRMF,Republicans,Republican,Democrats,Democrat,a Democrat,Democrats
1/16/21 9:12,1/16/21 9:19,0,65.96.235.186,100,424,1,1/16/21 9:19,R_yxPNbljdAEhPB3H,,,,,42.42799377,-71.0617981,anonymous,EN,42,2,1,1,1,1,2,1,1,1,1,1,1,4,4,3,4,3,4,2,2,1,1,2,1,2,2,2,1,1,1,5,5,2,6,5,4,4,5,4,6,1,5,6,6,1,4,,82,83,85,84,79,69,83,86,5,5,5,63,92,89,90,91,90,91,91,89,91,90,89,89,94,43,31,88,62,60,37,55,46,73,52,52,53,52,2,3,3,2,2,2,1,1,1,1,1,1,1,4,4,6,3,3,5,1,2,3,3,3,2,2,2,4,5,2,1,1,3,1,1,78,89,91,10,22,16,37,97,3,,A1SOFLJOEQB591,3JRJSWSMQIZJ5SWYBM0PG8ZRG20E3C,3OB6JN3A9Q26DYBKD7K2MUCU5FHRMF,Republicans,Republican,Democrats,Democrat,a Democrat,Democrats
1/16/21 9:13,1/16/21 9:26,0,66.66.148.164,100,794,1,1/16/21 9:26,R_33lspmDSFXpapyJ,,,,,43.22070313,-77.59919739,anonymous,EN,37,1,1,1,1,1,1,1,1,1,1,1,1,2,3,5,5,3,4,1,2,2,2,4,3,1,1,1,1,3,1,6,5,1,4,3,3,4,4,2,6,3,3,3,2,1,8,,0,50,0,8,68,79,79,35,5,4,5,19,90,88,88,88,87,87,87,87,88,91,87,87,25,50,0,100,40,50,20,75,50,75,51,51,51,51,1,1,3,1,1,1,1,1,1,1,1,1,1,4,2,6,6,6,4,1,1,6,6,6,1,6,1,4,4,5,3,3,6,1,1,50,50,8,10,21,14,36,93,3,Good luck with the study.,A16335MOISDG1F,3VHP9MDGROYZO6SDZQVWRTOLYGSCFQ,3OB6JN3A9Q26DYBKD7K2MUCU5FHRMF,Republicans,Republican,Democrats,Democrat,a Democrat,Democrats
1/16/21 10:29,1/16/21 10:33,0,97.99.66.19,100,200,1,1/16/21 10:33,R_1l6l8bjofIAxfge,,,,,32.99580383,-96.78820038,anonymous,EN,31,2,3,2,3,2,3,3,2,2,2,3,2,4,2,3,4,2,2,4,3,3,2,4,4,3,3,4,4,3,5,3,3,4,4,3,5,3,4,3,5,3,3,4,4,1,4,,69,85,68,75,83,78,80,78,5,5,4,76,91,92,90,92,91,91,92,92,92,92,90,91,64,84,77,70,78,74,75,69,86,76,56,55,55,56,5,4,4,4,3,5,4,4,5,3,5,4,4,4,4,6,4,5,5,4,5,4,4,4,5,5,4,3,4,5,3,4,4,5,4,79,66,75,10,21,17,36,97,3,,A1SWGSFIMZJQE,3VNL7UK1XGXGANUOLCQMG3OPM21TFZ,3CESM1J3EIG9WR7EPLNRKXNP7UJ6WP,Republicans,Republican,Democrats,Democrat,a Democrat,Democrats
1/16/21 10:28,1/16/21 10:34,0,108.185.66.225,100,331,1,1/16/21 10:34,R_1flxXvbGapcWEZ5,,,,,33.92120361,-118.142395,anonymous,EN,35,2,1,2,2,1,2,1,2,1,2,1,2,2,4,1,1,1,1,1,1,1,1,5,2,1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,6,6,2,5,6,2,5,,78,92,81,25,89,78,86,86,6,6,6,3,87,90,87,87,87,87,88,88,87,92,87,87,2,24,2,95,95,90,0,99,100,98,51,51,51,51,1,1,1,1,1,6,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,6,1,1,1,3,1,5,1,1,1,99,100,97,10,20,15,38,97,6,Thank you for the interesting survey!,AEQ6KLNVTRKKR,36V4Q8R5ZLE9OHUDQV046OXBZWEQMP,3NC6WP7WJHX7Q6MKG30VIRM2VWBWWF,Democrats,Democrat,Republicans,Republican,a Republican,Republicans
1/16/21 10:28,1/16/21 10:35,0,99.174.166.43,100,440,1,1/16/21 10:35,R_3JFBIjL2fFhlr99,,,,,37.96679688,-87.49120331,anonymous,EN,64,2,1,1,1,1,1,2,1,1,1,1,1,2,3,4,4,4,5,1,1,5,5,4,4,5,5,5,1,1,1,6,6,1,1,4,5,4,2,1,6,1,4,4,4,1,5,,77,78,67,84,83,96,82,70,5,5,5,18,89,93,91,91,91,91,90,90,89,93,89,87,54,56,14,73,73,56,24,72,80,36,53,51,51,51,4,4,4,1,1,1,1,1,1,1,1,1,1,2,2,6,4,4,2,1,1,6,6,6,1,6,1,5,1,1,1,1,1,1,1,79,75,79,11,23,15,35,96,2,,A26TA3HGBFSPYH,3LEP4MGT3HEJGHMBUK4BS9FI4ILBDG,3JY0Q5X05JJFWY6KMTSVALEQ7KWGG2,Republicans,Republican,Democrats,Democrat,a Democrat,Democrats
